Property location,price,bedrooms,yr_built,sqft_living,sqft_lot,floors,waterfront,view,Condition,grade,yr_renovated
Arizona,375000,3,2010,2340,10005,1,0,0,0,8,2020
Arizona,460000,3,2020,1670,4005,1.5,0,0,1,7,0
Arizona,188500,2,2016,1240,2493,1,0,0,1,8,0
Arizona,680000,4,2018,3140,28037,2,0,0,1,10,0
Arizona,470000,5,2002,2030,12342,2,0,0,1,7,0
Arizona,597750,4,2016,2310,9624,2,0,0,1,8,0
Arizona,570000,3,2006,1260,3328,1,0,0,0,6,2020
Arizona,272500,3,2011,1540,12600,1,0,0,0,7,2019
Arizona,329950,3,2008,2080,5969,1,0,2,0,7,2020
Arizona,480000,4,2001,3230,16171,2,0,3,0,9,2012
Arizona,740500,3,2002,4380,6350,2,0,0,1,8,0
Arizona,518500,3,2010,1590,1102,3,0,0,0,8,2020
Arizona,205425,2,2005,880,6780,1,0,0,1,6,0
Arizona,171800,4,2000,1570,9600,1,0,0,1,6,2016
Arizona,535000,4,2016,1610,2982,1.5,0,0,1,7,0
Arizona,660000,3,2005,2400,6474,1,0,2,1,8,0
Arizona,391500,3,2021,1450,9132,1,0,0,1,7,0
Arizona,395000,2,2001,770,6000,1,0,0,0,6,2012
Arizona,445000,4,2016,2100,4400,1.5,0,0,1,7,0
Arizona,770000,3,2017,2910,10204,2,0,0,1,9,0
Arizona,1.45E+06,4,2009,2750,17789,1.5,0,0,0,8,2020
Arizona,445000,3,2006,2100,8201,1,0,2,0,8,2020
Arizona,260000,4,2010,2160,8811,1,0,0,0,8,2020
Arizona,822500,5,2017,2320,4960,2,0,0,1,7,0
Hawaii,430000,4,2004,2070,4310,2,0,0,1,7,0
Arizona,212000,3,2017,1060,7875,1,0,0,1,7,0
Arizona,660500,4,2017,2010,9603,1,0,0,1,8,0
Arizona,784000,3,2017,3950,111078,1.5,0,0,1,9,0
Hawaii,453246,3,2014,2010,2287,2,0,0,1,8,0
Arizona,675000,4,2005,2140,2278,3,0,0,1,9,0
Arizona,199000,3,2002,1320,17390,1,0,0,1,7,0
Arizona,220000,4,2007,2020,7840,1,0,0,0,7,2020
Arizona,452000,4,2007,2590,10002,1,0,0,0,8,2020
Arizona,382500,2,2012,1190,4440,1,0,0,0,6,2019
Hawaii,519950,3,2014,1170,1249,3,0,0,1,8,0
Arizona,665000,2,2016,1110,3200,1,0,0,1,7,0
Arizona,527700,5,2007,2820,9375,1,0,0,0,8,2020
Arizona,205000,3,2004,1610,8579,1,0,0,1,7,0
Arizona,420000,3,2016,1060,8097,1,0,0,1,7,0
Arizona,500000,4,2003,2030,8517,1,0,0,0,8,2019
Arizona,921500,4,2018,3670,315374,2,0,0,1,9,0
Arizona,890000,4,2006,2550,4000,2,0,0,0,8,2020
Hawaii,430000,2,2007,2420,60984,2,0,0,0,7,2020
Arizona,258000,5,2002,2260,12500,1,0,0,2,8,2009
Arizona,511000,3,2007,1430,3455,1,0,0,0,7,2020
Arizona,532170,3,2017,1360,3090,2,0,0,1,8,0
Arizona,560000,3,2007,1110,5000,1.5,0,0,0,7,2020
Arizona,282950,3,2001,1250,8200,1,0,0,0,7,2012
Arizona,2.25E+06,4,2006,5180,19850,2,0,3,0,12,2020
Arizona,350000,1,2002,700,5100,1,0,0,2,7,2009
Arizona,215000,3,2006,1180,7669,1,0,0,0,7,2020
Arizona,650000,5,2019,3960,25245,2,0,0,1,9,0
Arizona,320000,4,2006,2640,7500,1,0,0,0,8,2020
Arizona,247000,3,2010,1270,7198,1.5,0,0,0,7,2020
Arizona,320000,4,2007,1760,11180,1,0,0,0,8,2020
Arizona,255000,5,2004,2060,8632,1,0,0,1,7,0
Arizona,438000,3,2004,1780,9660,1,0,0,1,7,0
Arizona,900000,3,2000,3400,16603,2,0,0,1,10,2016
Arizona,441000,3,2011,1910,7280,1,0,0,0,7,2019
Arizona,420000,3,2009,2020,38332,1,0,0,0,7,2020
Arizona,370000,3,2010,1580,7000,1,0,0,0,7,2020
Arizona,269950,2,2009,1340,7250,1,0,0,0,5,2020
Arizona,807100,4,2020,2680,4499,2,0,0,1,9,0
Arizona,653000,3,2011,2680,9750,1,0,0,0,8,2019
Arizona,371500,3,2005,1370,8336,1,0,0,1,7,0
Arizona,284000,3,2001,1560,21000,1,0,0,0,7,2012
Arizona,272000,3,2010,2160,7140,1,0,0,0,7,2020
Arizona,313000,3,2001,1340,7912,1.5,0,0,0,7,2012
Arizona,917500,4,2016,3880,35003,2,0,0,1,10,0
Arizona,673000,4,2011,2590,8190,2,0,0,0,8,2019
Arizona,425000,3,2008,1120,1100,2,0,0,0,8,2020
Arizona,399950,5,2017,1970,5400,1,0,0,1,7,0
Arizona,385000,3,2003,1220,4800,1,0,0,0,6,2019
Arizona,269950,3,2009,1950,7560,1,0,2,0,7,2020
Arizona,330000,2,2009,1350,8220,1,0,0,0,7,2020
Arizona,260000,3,2017,1670,5797,2,0,0,1,7,0
Arizona,470000,4,2016,2380,5125,1.5,0,0,1,7,0
Arizona,589000,4,2003,2440,9600,2,0,0,0,7,2019
Arizona,163500,2,2019,1050,3419,2,0,0,1,7,0
Arizona,835000,4,2018,3130,13412,2,0,0,1,9,0
Arizona,1.10E+06,5,2017,4090,12850,1,0,2,1,10,0
Arizona,269000,4,2007,1490,10000,1,0,0,0,8,2020
Arizona,560000,3,2021,1900,8744,2,0,0,1,8,0
Arizona,615000,4,2003,1330,2400,1.5,0,0,0,6,2019
Arizona,585188,3,2009,2230,10026,1,0,0,0,8,2020
Arizona,305000,3,2010,1650,9480,1,0,0,0,7,2020
Arizona,166950,3,2002,1190,8820,1,0,0,2,6,2009
Arizona,799000,3,2002,2140,9897,1,0,0,2,8,2009
Arizona,400000,3,2004,2180,7508,1,0,0,1,7,0
Arizona,230000,3,2008,1060,10228,1,0,0,0,7,2020
Arizona,256883,3,2003,1690,5025,2,0,0,0,8,2019
Arizona,423000,4,2011,1970,6480,1.5,0,0,0,7,2019
Hawaii,465000,3,2007,2150,4084,2,0,0,0,8,2020
Arizona,440000,3,2019,1910,66211,2,0,0,1,7,0
Arizona,385000,3,2007,1350,155073,1,0,0,0,7,2020
Arizona,210000,3,2003,860,11725,1,0,0,0,6,2019
Arizona,297000,3,2018,1940,14952,2,0,0,1,8,0
Arizona,470000,3,2000,1010,5000,1,0,0,1,7,2016
Arizona,226500,3,2010,1300,7370,1,0,0,0,7,2020
Arizona,274250,3,2004,910,8450,1,0,0,1,6,0
Arizona,840000,4,2006,2480,11010,1,0,0,0,9,2020
Arizona,677900,3,2010,2440,4587,2,0,0,0,8,2020
Arizona,425000,3,2009,1010,5864,1,0,0,0,7,2020
Arizona,180250,2,2001,900,9600,1,0,0,0,6,2012
Arizona,464000,6,2011,2300,3404,2,0,0,0,7,2019
Arizona,320000,4,2018,1550,7579,2,0,0,1,8,0
Hawaii,625504,3,2014,1270,1566,2,0,0,1,8,0
Arizona,592500,4,2016,2240,12032,1,0,0,1,9,0
Arizona,465000,3,2005,2714,17936,2,0,0,1,9,0
Arizona,477000,4,2010,1720,6270,2,0,0,0,8,2020
Arizona,280000,2,2016,850,16400,1,0,0,1,6,0
Arizona,1.51E+06,5,2002,3300,33474,1,0,3,2,9,2009
Arizona,445838,3,2000,2250,5692,2,0,0,1,8,2016
Arizona,1.07E+06,2,2007,3900,14864,1,0,3,0,8,2020
Arizona,467000,2,2007,1320,10800,1,0,0,0,8,2020
Arizona,686000,4,2020,2760,6440,2,0,0,1,10,0
Arizona,279950,3,2003,1750,9750,1,0,0,0,7,2019
Arizona,527000,4,2021,2330,19436,2,0,0,1,8,0
Arizona,325000,3,2006,2220,16020,1,0,0,0,8,2020
Arizona,328000,3,2018,2020,8379,2,0,0,1,7,0
Arizona,390000,3,2002,1250,7500,1,0,0,2,7,2009
Arizona,479950,2,2005,1510,6516,1,0,0,1,8,0
Arizona,264950,4,2010,1720,9753,1,0,0,0,7,2020
Arizona,235000,3,2003,1430,15246,1,0,0,0,7,2019
Hawaii,516500,3,2004,1480,4729,2,0,0,1,7,0
Arizona,655000,2,2009,1450,15798,2,1,4,0,7,2020
Arizona,500000,4,2002,2280,15347,1,0,0,2,7,2009
Arizona,315000,6,2010,2940,7350,1,0,0,0,8,2020
Arizona,213000,2,2003,1000,10200,1,0,0,0,6,2019
Arizona,475000,3,2007,2480,5280,1.5,0,0,0,7,2020
Arizona,1.03E+06,5,2016,3760,28040,2,0,0,1,10,0
Arizona,416000,3,2010,2220,94300,1,0,0,0,7,2020
Arizona,410000,4,2005,1970,4740,1.5,0,0,1,7,0
Arizona,800000,3,2018,3830,221284,2,0,0,1,10,0
Arizona,472000,6,2006,4410,14034,1,0,2,0,9,2020
Arizona,225000,3,2007,1430,8505,1,0,0,0,7,2020
Arizona,210000,2,2000,830,6000,1,0,0,1,6,2016
Arizona,455000,2,2016,1430,5000,1.5,0,0,1,7,0
Arizona,225000,3,2001,1300,8316,1,0,0,0,6,2012
Arizona,480000,2,2010,1030,3060,1,0,2,0,7,2020
Arizona,363000,3,2017,2740,11872,2,0,0,1,9,0
Arizona,2.40E+06,4,2000,3650,8354,1,1,4,1,9,2016
Arizona,181000,2,2001,720,5120,1,0,0,0,6,2012
Arizona,250000,4,2010,2010,7312,1,0,0,0,7,2020
Arizona,481000,3,2010,1560,3000,1,0,0,0,6,2020
Arizona,260000,3,2010,1810,7209,1,0,0,0,7,2020
Arizona,455000,4,2001,3360,7685,2,0,0,0,9,2012
Arizona,415000,3,2018,1510,36224,2,0,0,1,8,0
Arizona,349500,3,2001,1400,3538,1,0,0,2,7,2012
Arizona,245000,3,2021,1730,7442,2,0,0,1,7,0
Arizona,592500,2,2017,1420,9191,1.5,0,2,1,7,0
Arizona,385000,4,2001,2360,7620,1,0,0,2,7,2012
Arizona,315000,3,2009,1580,11455,1,0,0,0,7,2020
Arizona,255000,3,2011,1230,10170,1,0,0,0,7,2019
Arizona,693000,4,2006,2460,4425,2,0,0,0,8,2020
Arizona,780000,3,2008,1660,4400,1.5,0,0,0,8,2020
Arizona,237000,3,2002,1270,8470,1,0,0,2,7,2009
Arizona,525000,3,2011,2100,40510,2,0,0,0,10,2019
Arizona,425000,2,2017,770,5040,1,0,0,1,5,0
Arizona,369900,1,2019,760,10079,1,1,4,1,5,0
Arizona,290000,4,2017,1700,7280,2,0,0,1,7,0
Arizona,285000,3,2001,1120,10701,1,0,0,2,7,2012
Arizona,415000,2,2019,1070,4500,1,0,0,1,7,0
Arizona,272500,3,2011,2070,9900,1,0,0,0,8,2019
Arizona,2.90E+06,4,2016,5050,20100,1.5,0,2,1,11,0
Arizona,1.37E+06,4,2017,5310,57346,2,0,0,1,11,0
Arizona,436000,2,2020,1040,7538,1,0,0,1,7,0
Arizona,210000,3,2006,1700,11390,1,0,0,0,7,2020
Arizona,236000,3,2003,1300,5898,1,0,0,0,7,2019
Arizona,331000,3,2001,1080,1306,1,0,0,2,7,2012
Arizona,365000,3,2006,2653,4510,2,0,0,0,8,2020
Arizona,450000,3,2002,2290,16258,1,0,0,2,8,2009
Hawaii,770000,4,2014,3820,26300,2,0,0,1,9,0
Arizona,455000,4,2019,2210,49375,1,0,0,1,8,0
Arizona,405000,3,2007,2390,6000,1,0,0,0,6,2020
Arizona,304900,4,2007,2600,11325,1,0,0,0,7,2020
Arizona,170000,2,2018,860,5265,1,0,0,1,6,0
Arizona,2.05E+06,5,2006,3830,8480,2,0,1,0,9,2020
Arizona,780000,4,2005,3500,7048,2,0,0,1,9,0
Arizona,330000,3,2017,2420,13959,1,0,0,1,8,0
Arizona,370000,4,2018,2720,8666,2,0,0,1,9,0
Arizona,467000,5,2011,2500,13500,1,0,0,0,7,2019
Arizona,405000,3,2011,1670,6720,1,0,0,0,7,2019
Arizona,675000,5,2016,2900,10300,1,0,0,1,8,0
Arizona,500000,2,2001,1640,14100,1,0,0,2,7,2012
Arizona,389999,4,2007,1890,15770,2,0,0,0,7,2020
Arizona,630000,4,2009,2950,9025,1,0,2,0,8,2020
Arizona,360000,4,2018,2160,9528,2,0,0,1,9,0
Arizona,580000,4,2017,3280,11060,2,0,0,1,8,0
Arizona,550000,3,2017,1970,4166,2,0,3,1,8,0
Arizona,879000,4,2018,3360,22111,2,0,0,1,10,0
Arizona,265000,3,2018,1320,8959,1,0,0,1,7,0
Arizona,446500,3,2017,2650,7286,2,0,0,1,8,0
Arizona,404000,3,2004,2030,8880,1,0,0,1,7,0
Arizona,267500,3,2002,1590,11914,1,0,2,2,7,2009
Arizona,3.08E+06,4,2002,4550,18641,1,1,4,2,10,2009
Arizona,335000,3,2019,2440,7632,2,0,0,1,8,0
Arizona,576000,3,2008,1940,9000,1,0,0,0,7,2020
Arizona,208633,3,2006,2040,3810,2,0,0,0,8,2020
Arizona,315000,3,2005,2200,8750,1,0,0,1,7,0
Arizona,725000,3,2008,1920,3300,1,0,0,0,8,2020
Arizona,550000,4,2006,1800,7750,1,0,0,0,8,2020
Arizona,610750,4,2016,2180,7297,2,0,0,1,8,0
Arizona,550700,2,2007,1010,5000,1.5,0,0,0,6,2020
Arizona,665000,4,2002,3320,10574,2,0,0,2,8,2009
Arizona,834000,4,2017,2370,4000,1.5,0,2,1,8,0
Arizona,201000,5,2009,1660,78408,1.5,0,0,0,6,2020
Arizona,2.38E+06,5,2012,3650,9050,2,0,4,0,10,2019
Arizona,1.38E+06,4,2019,4290,12103,1,0,3,1,11,0
Arizona,1.40E+06,4,2019,4290,12103,1,0,3,1,11,0
Arizona,305000,4,2011,1950,7700,1,0,0,0,8,2019
Arizona,487000,3,2008,2590,14052,1,0,0,0,8,2020
Arizona,390000,3,2017,1930,64904,1,0,0,1,8,0
Arizona,548000,2,2010,1470,3864,1,0,0,0,7,2020
Arizona,268750,4,2003,800,8775,1,0,0,0,6,2019
Arizona,819900,5,2013,3150,7119,2,0,0,0,9,2019
Arizona,520000,3,2016,2030,16200,2,0,0,1,8,0
Arizona,230000,3,2003,1450,11204,1,0,0,0,7,2019
Arizona,240000,3,2007,1510,10248,1,0,0,0,7,2020
Arizona,232000,2,2016,1240,12092,1,0,0,1,6,0
Arizona,240500,2,2016,1240,12092,1,0,0,1,6,0
Arizona,274975,3,2021,3030,45004,2,0,0,1,9,0
Arizona,740000,4,2016,2050,4400,1.5,0,0,1,9,0
Arizona,186375,3,2000,1000,7636,1,0,0,1,7,2016
Arizona,790000,3,2010,2370,10289,1,0,0,0,9,2020
Arizona,880000,4,2000,2800,6750,2,0,0,1,9,2016
Arizona,279000,6,2001,2240,11180,2,0,0,2,7,2012
Arizona,295000,3,2018,1810,10530,1,0,2,1,8,0
Arizona,640000,2,2016,1070,5000,1,0,0,1,7,0
Arizona,940000,4,2007,2490,9525,2,0,0,0,9,2020
Arizona,260000,4,2003,1960,5238,2,0,0,0,7,2019
Hawaii,559900,3,2004,2930,5569,1,0,0,1,9,0
Arizona,791500,4,2008,1510,3500,1.5,0,0,0,7,2020
Arizona,265000,3,2001,1420,8250,1,0,0,2,7,2012
Arizona,245000,3,2001,1740,11547,1,0,0,2,7,2012
Arizona,485000,4,2004,2560,43995,2,0,0,1,7,0
Arizona,684000,4,2010,3040,8414,2,0,0,0,9,2020
Arizona,425000,3,2002,2500,6840,1,0,0,2,8,2009
Arizona,309600,4,2018,1275,20000,1,0,0,1,6,0
Arizona,552250,4,2002,2580,5823,2,0,0,2,8,2009
Arizona,165000,4,2003,1000,7134,1,0,0,0,6,2019
Arizona,239900,4,2003,1000,7134,1,0,0,0,6,2019
Arizona,320000,2,2017,1070,32633,1,0,0,1,6,0
Arizona,206600,3,2021,1390,13464,1,0,0,1,7,0
Arizona,387000,4,2008,2500,7690,1,0,0,0,7,2020
Arizona,299000,1,2006,560,12120,1,0,0,0,4,2020
Arizona,855000,4,2006,2270,10460,2,0,0,0,9,2020
Arizona,315000,3,2001,1900,14400,1,0,0,2,7,2012
Arizona,437500,2,2006,990,3120,1,0,2,0,7,2020
Arizona,252000,4,2007,1550,19800,1,0,0,0,7,2020
Arizona,375000,4,2001,2200,7475,1,0,0,2,7,2012
Arizona,300000,4,2005,1910,4862,2,0,0,1,7,0
Arizona,420000,4,2001,1750,9600,1.5,0,0,2,7,2012
Arizona,900000,3,2017,1330,77972,1,0,0,1,7,0
Arizona,679900,3,2000,2440,5750,2,0,2,1,9,2016
Arizona,463000,3,2018,1640,29970,2,0,0,1,7,0
Arizona,380000,5,2010,2760,11340,2,0,0,0,9,2020
Arizona,329500,4,2018,1820,7912,2,0,0,1,7,0
Arizona,604950,3,2013,2110,5608,1,0,0,0,8,2019
Arizona,795000,5,2006,3040,9570,1,0,2,0,8,2020
Arizona,465000,3,2018,1840,40438,2,0,0,1,7,0
Arizona,673000,4,2002,2990,10400,2,0,0,2,9,2009
Arizona,810000,4,2018,3520,15420,2,0,0,1,10,0
Arizona,785000,4,2017,2440,69415,1,0,0,1,8,0
Arizona,338000,4,2017,2090,7500,1,0,0,1,7,0
Arizona,280000,3,2018,1430,7222,2,0,0,1,7,0
Arizona,315000,4,2001,2180,10754,1,0,0,2,7,2012
Arizona,530000,4,2001,2180,10754,1,0,0,2,7,2012
Hawaii,380000,5,2004,3450,9914,2,0,0,1,9,0
Arizona,297000,3,2018,1450,7562,2,0,0,1,7,0
Hawaii,730000,4,2004,3230,7331,2,0,0,1,10,0
Arizona,450000,3,2000,1640,13500,1,0,0,1,7,2016
Arizona,275000,3,2019,1590,7750,1,0,0,1,7,0
Arizona,595000,4,2002,2020,2849,2,0,0,2,7,2009
Arizona,435000,3,2005,1300,3348,1.5,0,0,1,7,0
Arizona,270000,2,2001,1380,209959,1,0,0,2,6,2012
Arizona,950000,3,2017,4040,14338,2,0,0,1,10,0
Arizona,389000,4,2001,2130,5337,2,0,0,2,7,2012
Arizona,560000,4,2007,2550,7800,1,0,0,0,8,2020
Arizona,1.35E+06,5,2019,4800,14984,2,0,2,1,11,0
Arizona,799000,4,2007,2510,11585,2,0,0,0,8,2020
Arizona,365500,3,2016,1410,9600,1,0,0,1,7,0
Arizona,252350,3,2011,1650,7352,1,0,0,0,7,2019
Arizona,403950,4,2018,2120,13780,2,0,0,1,8,0
Arizona,385000,4,2001,2040,10726,1,0,0,2,7,2012
Arizona,345000,4,2002,1550,7620,1.5,0,0,2,7,2009
Arizona,490000,3,2011,1980,3128,2,0,0,0,9,2019
Arizona,330000,3,2005,1600,26977,2,0,0,1,8,0
Arizona,927000,4,2001,3300,12090,2,0,0,2,8,2012
Arizona,1.12E+06,4,2016,3840,16619,2,0,1,1,10,0
Arizona,330000,2,2000,1220,10000,1,0,0,1,7,2016
Arizona,530000,5,2002,2720,8800,1,0,0,2,7,2009
Arizona,365000,4,2004,1940,25600,1,0,0,1,8,0
Arizona,378750,3,2007,2160,3000,1.5,0,0,1,7,0
Arizona,269900,4,2007,1530,8750,1.5,0,0,1,7,0
Arizona,557000,3,2008,1710,2096,2,0,0,0,8,2020
Arizona,360000,4,2009,3730,16980,1,0,0,0,7,2020
Arizona,352000,2,2019,940,5000,1,0,0,1,7,0
Arizona,437000,3,2018,1750,22357,2,0,0,1,8,0
Arizona,322500,4,2018,1820,6753,2,0,0,1,7,0
Arizona,650000,3,2001,1510,2000,2,0,0,2,9,2012
Arizona,450000,3,2001,1290,1213,3,0,0,2,8,2012
Arizona,278500,3,2019,1570,5250,1,0,0,1,7,0
Arizona,364950,4,2018,1930,6957,2,0,0,1,8,0
Arizona,840000,4,2017,2840,40139,1,0,4,1,10,0
Arizona,268000,3,2018,1550,8134,2,0,0,1,7,0
Arizona,517534,2,2006,833,143947,1,0,0,1,5,0
Arizona,632925,3,2010,2990,32239,2,0,0,0,8,2020
Arizona,577500,3,2018,2000,7251,2,0,0,1,9,0
Arizona,339000,4,2011,2390,7480,1.5,0,2,0,7,2019
Arizona,570000,3,2006,2910,37461,1,0,0,1,7,0
Arizona,563500,4,2005,2085,174240,1,0,0,1,7,0
Arizona,423000,4,2004,2200,9351,1,0,0,1,7,0
Hawaii,355000,3,2012,1860,5028,2,0,0,0,8,2019
Arizona,1.55E+06,5,2020,6070,171626,2,0,0,1,12,0
Arizona,482000,2,2001,950,3960,1,0,0,2,7,2012
Arizona,625000,3,2001,1600,9135,1,0,0,2,7,2012
Arizona,538000,3,2017,2250,11632,2,0,0,1,8,0
Arizona,380000,3,2016,2280,10255,2,0,0,1,8,0
Arizona,375000,2,2007,940,5120,1,0,0,1,7,2016
Arizona,245000,3,2019,1530,8500,1,0,0,1,7,0
Arizona,310000,5,2007,2190,27260,1,0,0,1,7,2016
Arizona,1.30E+06,3,2010,2350,15021,1,0,0,0,8,2020
Arizona,397000,4,2008,1440,7680,1,0,0,0,7,2020
Arizona,365000,3,2005,2200,4052,2,0,0,1,8,0
Arizona,328500,4,2017,2290,8250,2,0,0,1,9,0
Arizona,988000,4,2021,4040,19700,2,0,0,1,11,0
Arizona,1.00E+06,4,2016,2610,3277,1.5,0,0,0,8,0
Arizona,237000,3,2005,1490,2138,2,0,0,0,7,0
Arizona,525000,4,2003,2450,5280,2,0,0,0,8,2019
